"Major area, region, country or area","Country code","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"Comoros",174,156.334,160.463,164.338,168.046,171.66,175.23,178.791,182.359,185.931,189.498,193.052,196.605,200.199,203.916,207.856,212.097,216.728,221.755,227.075,232.529,238.032,243.481,249,254.997,262.03,270.467,280.464,291.816,304.071,316.582,328.861,340.778,352.416,363.759,374.852,385.74,396.391,406.798,417.077,427.392,437.876,448.576,459.515,470.765,482.401,494.486,507.062,520.151,533.754,547.864,562.469,577.569,593.17,609.271,625.876,642.974,660.559,678.602,697.034,715.774,734.75
"Djibouti",262,62.001,63.464,65.022,66.649,68.353,70.178,72.203,74.539,77.33,80.73,84.877,89.853,95.652,102.165,109.222,116.706,124.688,133.253,142.32,151.782,161.622,171.519,181.622,192.922,206.763,223.963,245.326,270.222,296.307,320.332,340.133,354.304,363.94,372.386,384.409,403.221,430.367,464.202,500.876,534.862,562.29,581.641,594.437,603.534,613.219,626.537,644.434,665.755,688.94,711.573,731.93,749.604,765.283,779.64,793.738,808.367,823.682,839.453,855.636,872.09,888.716
"Eritrea",232,1141.3,1162.455,1185.426,1210.063,1236.248,1263.899,1292.97,1323.45,1355.355,1388.725,1423.599,1459.988,1497.855,1537.105,1577.613,1619.301,1662.247,1706.539,1752.123,1798.934,1847,1896.028,1946.213,1998.632,2054.727,2115.4,2181.178,2251.397,2324.29,2397.387,2468.902,2537.333,2602.966,2667.868,2735.121,2806.456,2884.388,2967.048,3046.674,3112.654,3158.295,3180.43,3184.019,3180.541,3186.063,3212.503,3263.016,3335.157,3428.264,3539.885,3667.576,3812.473,3973.973,4145.5,4318.343,4486.155,4645.837,4798.561,4947.521,5097.998,5253.676
"Ethiopia",231,18433.866,18788.33,19150.885,19522.3,19903.919,20297.664,20706.078,21132.283,21579.828,22052.451,22553.35,23084.406,23645.508,24234.254,24846.785,25480.202,26128.435,26790.992,27476.546,28197.484,28959.382,29777.985,30642.92,31503.206,32289.683,32958.964,33486.288,33903.618,34294.03,34773.64,35426.282,36282.554,37319.328,38500.829,39768.079,41077.517,42417.873,43802.479,45240.322,46747.612,48333.261,49998.845,51730.288,53502.211,55281.054,57042.197,58774.378,60481.739,62174.171,63868.806,65577.897,67303.731,69040.669,70784.012,72526.62,74263.861,75993.403,77718.436,79446.419,81187.751,82949.541
"Kenya",404,6076.757,6240.179,6412.384,6593.131,6782.31,6979.952,7186.225,7401.433,7626.008,7860.482,8105.435,8361.428,8628.949,8908.388,9200.107,9504.635,9822.419,10154.382,10502.123,10867.576,11252.318,11657.321,12082.989,12529.622,12997.274,13486.116,13995.982,14527.391,15081.923,15661.593,16267.558,16899.958,17557.466,18237.83,18937.969,19655.192,20387.701,21134.404,21894.026,22665.447,23447.177,24240.108,25042.33,25846.436,26642.887,27425.72,28191.597,28944.78,29696.41,30462.154,31253.701,32076.186,32927.864,33805.301,34702.176,35614.576,36540.948,37485.246,38455.418,39462.188,40512.682
"Madagascar",450,4083.554,4168.939,4258.186,4351.132,4447.673,4547.759,4651.404,4758.677,4869.698,4984.631,5103.652,5226.922,5354.559,5486.625,5623.161,5764.278,5909.996,6060.59,6216.739,6379.309,6548.922,6725.666,6909.376,7100.076,7297.711,7502.097,7713.983,7933.128,8157.215,8383.124,8608.964,8833.875,9059.559,9289.882,9530.197,9784.559,10054.543,10339.739,10639.804,10953.663,11280.625,11620.718,11974.724,12343.496,12728.117,13129.227,13547.271,13981.666,14430.739,14892.172,15364.272,15846.412,16338.968,16842.482,17357.913,17885.967,18426.87,18980.391,19546.282,20124.15,20713.819
"Malawi",454,2880.7,2930.156,2984.164,3041.877,3102.675,3166.157,3232.162,3300.751,3372.183,3446.871,3525.246,3607.612,3694.022,3784.224,3877.813,3974.682,4074.649,4178.378,4287.627,4404.709,4531.28,4667.889,4814.073,4969.175,5132.087,5301.861,5481.074,5670.199,5863.933,6055.046,6239.898,6409.111,6567.327,6741.249,6967.388,7268.257,7661.008,8128.34,8616.602,9051.225,9380.892,9583.696,9681.728,9721.62,9772.164,9883.35,10070.605,10319.125,10612.353,10922.265,11228.756,11529.337,11833.102,12144.945,12472.794,12822.587,13195.329,13589.404,14005.113,14442.29,14900.841
"Mauritius",480,493.254,506.393,521.087,536.859,553.338,570.258,587.465,604.913,622.642,640.758,659.351,678.408,697.738,716.944,735.508,753.065,769.472,784.833,799.329,813.258,826.862,840.108,852.981,865.777,878.87,892.492,906.825,921.718,936.66,950.931,964.023,975.852,986.62,996.476,1005.669,1014.45,1022.704,1030.542,1038.704,1048.161,1059.548,1073.25,1088.939,1105.659,1122.04,1137.098,1150.448,1162.388,1173.451,1184.47,1196.027,1208.279,1220.935,1233.594,1245.669,1256.742,1266.684,1275.65,1283.849,1291.609,1299.172
"Mayotte",175,15.141,15.742,16.468,17.277,18.138,19.032,19.951,20.897,21.885,22.932,24.055,25.262,26.542,27.861,29.175,30.455,31.684,32.881,34.087,35.364,36.755,38.29,39.955,41.712,43.495,45.268,47.016,48.777,50.63,52.684,55.016,57.665,60.618,63.844,67.287,70.912,74.685,78.63,82.829,87.402,92.413,97.901,103.795,109.918,116.028,121.949,127.624,133.089,138.384,143.585,148.753,153.887,158.983,164.101,169.315,174.681,180.217,185.922,191.805,197.87,204.114
"Mozambique",508,6442.133,6535.891,6636.035,6742.252,6854.315,6972.081,7095.498,7224.598,7359.49,7500.335,7647.298,7800.484,7959.885,8125.366,8296.714,8473.839,8657.16,8847.011,9043.165,9245.275,9453.385,9665.565,9882.427,10109.426,10353.943,10620.268,10908.878,11214.834,11530.022,11843.382,12145.501,12441.643,12731.231,12992.962,13199.259,13334.972,13384.409,13365.201,13336.217,13378.1,13547.076,13867.422,14318.167,14854.59,15409.381,15933.452,16412.893,16862.385,17295.521,17735.992,18200.656,18691.461,19200.021,19721.009,20246.287,20770.013,21290.952,21811.326,22332.9,22858.607,23390.765
