"Major area, region, country or area","Country code","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"Egypt",818,21514.023,22048.587,22607.727,23191.489,23799.589,24431.42,25086.028,25762.133,26458.178,27172.404,27903.093,28648.825,29408.697,30182.426,30970.067,31771.227,32586.961,33415.926,34252.634,35089.893,35923.283,36751.162,37577.248,38409.289,39258.086,40132.189,41033.408,41961.731,42921.556,43917.526,44952.497,46025.305,47133.557,48276.547,49453.054,50659.625,51899.728,53166.492,54433.72,55667.119,56843.275,57952.386,59004.372,60020.423,61032.081,62063.81,63120.498,64199.588,65309.201,66457.136,67648.419,68888.032,70174.632,71498.433,72844.998,74203.215,75568.453,76941.572,78323.298,79716.203,81121.077
"Libyan Arab Jamahiriya",434,1029.01,1035.282,1048.211,1067.811,1093.883,1126.017,1163.569,1205.683,1251.337,1299.425,1349.004,1399.552,1451.196,1504.811,1561.744,1622.996,1688.87,1759.132,1833.611,1911.968,1994,2079.897,2169.965,2264.278,2362.9,2466,2572.3,2681.887,2797.78,2924.086,3063,3216.43,3381.39,3549.22,3708.142,3849.801,3970.886,4074.021,4164.147,4249.018,4334.459,4421.885,4509.97,4598.629,4687.106,4775.009,4862.665,4951.076,5041.233,5134.324,5231.189,5331.311,5434.293,5541.062,5652.797,5769.709,5893.738,6023.053,6149.62,6262.667,6355.112
"Morocco",504,8953,9167.716,9390.159,9623.715,9870.67,10132.21,10408.363,10698.059,10999.295,11309.424,11625.999,11947.688,12275.06,12610.932,12959.397,13323,13703.369,14098.444,14502.647,14908.265,15309.995,15706.226,16099.392,16493.298,16893.643,17304.995,17726.625,18158.169,18604.851,19073.204,19566.92,20088.209,20633.004,21190.8,21747.15,22291.062,22818.601,23330.761,23827.539,24310.585,24781.105,25237.951,25679.802,26107.772,26523.6,26928.6,27323.664,27708.647,28082.684,28444.414,28793.236,29129.204,29453.931,29770.316,30082.152,30392.473,30702.084,31011.199,31321.453,31634.524,31951.412
"Sudan",736,9189.991,9382.368,9589.333,9808.398,10037.505,10275.029,10519.783,10771.013,11028.369,11291.872,11561.784,11838.481,12122.336,12413.677,12712.917,13020.968,13337.849,13665.39,14008.556,14373.705,14765.539,15186.224,15635.185,16110.926,16610.652,17132.264,17672.864,18232.567,18815.461,19427.4,20070.866,20750.557,21460.487,22179.726,22880.132,23542.778,24158.258,24735.638,25297.277,25875.596,26494.169,27159.893,27865.979,28605.664,29367.076,30141.147,30929.107,31733.75,32549.326,33368.681,34187.729,35002.234,35816.11,36643.433,37503.647,38410.32,39368.726,40373.635,41415.151,42478.309,43551.941
"Tunisia",788,3529.608,3596.387,3661.847,3727.072,3792.913,3860,3928.722,3999.242,4071.527,4145.402,4220.701,4297.441,4375.959,4456.986,4541.457,4630,4723.497,4821.782,4923.201,5025.402,5127.001,5226.965,5326.668,5430.023,5542.4,5667.516,5806.713,5958.456,6120.018,6287.287,6457.092,6628.154,6800.734,6974.955,7151.43,7330.267,7511.099,7692.463,7872.065,8047.027,8215.111,8375.587,8528.401,8672.916,8808.669,8935.523,9053.41,9162.87,9265.266,9362.447,9456.117,9546.453,9634.18,9722.18,9814.009,9912.114,10017.832,10130.368,10247.325,10365.089,10480.934
"Western Sahara",732,13.766,16.066,17.591,18.754,19.877,21.197,22.853,24.895,27.297,29.967,32.806,35.763,38.881,42.323,46.308,50.938,56.561,63.023,69.339,74.168,76.691,76.196,73.333,70.287,70.089,74.789,85.344,100.766,118.776,136.08,150.303,160.677,167.963,173.189,178.007,183.63,190.327,197.692,205.489,213.285,220.794,228.137,235.58,243.167,250.946,259.049,267.217,275.674,285.582,298.482,315.34,336.758,362.07,389.412,416.172,440.469,461.61,480.14,496.923,513.367,530.5
"Southern Africa",913,15587.911,15937.086,16304.402,16686.458,17080.994,17486.879,17904.189,18334.133,18778.876,19241.24,19723.794,20227.89,20752.829,21295.473,21851.298,22417.4,22991.818,23576.485,24177.008,24801.237,25454.43,26139.583,26854.078,27590.766,28339.429,29093.039,29847.69,30606.407,31377.383,32172.481,32999.587,33863.193,34758.927,35675.192,36595.555,37508.916,38405.775,39290.754,40183.472,41111.866,42093.232,43136.352,44226.713,45329.896,46398.277,47397.511,48314.273,49157.807,49944.061,50699.066,51441.854,52174.491,52889.954,53587.533,54264.745,54919.072,55553.637,56168.121,56752.363,57292.703,57780.425
"Botswana",72,412.533,425.268,437.177,448.428,459.195,469.656,479.998,490.411,501.09,512.228,523.997,536.54,549.953,564.277,579.518,595.697,612.903,631.226,650.676,671.247,692.959,715.745,739.683,765.101,792.432,821.942,853.774,887.716,923.234,959.584,996.211,1032.889,1069.707,1106.802,1144.442,1182.803,1221.79,1261.235,1301.146,1341.54,1382.371,1423.57,1464.924,1506.037,1546.414,1585.637,1623.704,1660.538,1695.587,1728.179,1757.925,1784.449,1808.103,1830.127,1852.243,1875.673,1900.905,1927.54,1954.822,1981.576,2006.945
"Lesotho",426,733.942,744.344,754.883,765.602,776.556,787.81,799.442,811.54,824.201,837.523,851.594,866.469,882.163,898.637,915.82,933.664,952.235,971.576,991.576,1012.087,1033.044,1054.333,1076.1,1098.849,1123.261,1149.797,1178.551,1209.29,1241.725,1275.421,1309.981,1345.398,1381.537,1417.72,1453.098,1487.079,1519.369,1550.144,1579.9,1609.386,1639.177,1669.19,1699.284,1729.896,1761.558,1794.531,1829.222,1865.218,1900.962,1934.337,1963.878,1988.983,2010.261,2028.976,2047.006,2065.752,2085.561,2106.128,2127.412,2149.201,2171.318
"Namibia",516,485.274,494.611,504.551,515.039,526.036,537.519,549.482,561.936,574.907,588.43,602.545,617.283,632.659,648.669,665.298,682.554,700.317,718.623,737.803,758.305,780.386,804.31,829.81,855.97,881.536,905.652,928.223,949.709,970.537,991.357,1012.824,1034.636,1057.115,1082.264,1112.679,1150.038,1195.331,1247.573,1304.005,1360.71,1414.83,1465.201,1512.524,1558.055,1603.865,1651.352,1700.975,1751.872,1802.579,1851.034,1895.839,1936.399,1973.408,2008.342,2043.339,2079.951,2118.653,2158.984,2200.422,2242.078,2283.289
"South Africa",710,13683.162,13993.912,14322.458,14665.211,15019.719,15384.665,15759.932,16146.536,16546.45,16962.304,17396.477,17850.139,18322.409,18809.986,19308.185,19813.932,20325.179,20843.695,21374.801,21926,22502.306,23106.584,23736.249,24384.286,25040.691,25698.624,26353.94,27009.603,27674.353,28360.792,29077.186,29828.924,30611.185,31409.842,32204.995,32983.394,33734.36,34464.223,35196.881,35966.236,36793.907,37690.924,38641.823,39609.488,40542.036,41402.4,42175.74,42873.355,43516.225,44137.342,44760.38,45389.577,46015.405,46631.364,47226.67,47792.787,48330.914,48842.462,49319.363,49751.503,50132.817
"Swaziland",748,273,278.951,285.333,292.178,299.488,307.229,315.335,323.71,332.228,340.755,349.181,357.459,365.645,373.904,382.477,391.553,401.184,411.365,422.152,433.598,445.735,458.611,472.236,486.56,501.509,517.024,533.202,550.089,567.534,585.327,603.385,621.346,639.383,658.564,680.341,705.602,734.925,767.579,801.54,833.994,862.947,887.467,908.158,926.42,944.404,963.591,984.632,1006.824,1028.708,1048.174,1063.832,1075.083,1082.777,1088.724,1095.487,1104.909,1117.604,1133.007,1150.344,1168.345,1186.056
"Western Africa",914,70451.481,71655.582,72941.644,74302.44,75732.166,77226.458,78782.398,80398.513,82074.628,83811.687,85611.174,87474.499,89402.449,91394.97,93451.802,95574.428,97764.285,100027.039,102373.867,104818.939,107373.796,110041.666,112824.379,115729.993,118767.169,121941.269,125256.006,128708.153,132286.958,135977.02,139766.144,143653.118,147638.401,151713.732,155869.634,160100.535,164399.797,168771.531,173234.287,177813.987,182528.618,187390.003,192391.772,197512.038,202718.871,207991.794,213325.827,218736.695,224250.265,229902.663,235722.282,241719.04,247893.127,254251.542,260799.203,267540.315,274480.267,281622.99,288968.584,296515.285,304261.455
"Benin",204,2255.222,2258.097,2264.492,2274.125,2286.767,2302.243,2320.433,2341.271,2364.737,2390.851,2419.644,2451.123,2485.248,2521.922,2561.022,2602.49,2646.31,2692.61,2741.672,2793.872,2849.508,2908.713,2971.515,3037.99,3108.179,3182.13,3259.918,3341.618,3427.274,3516.917,3610.578,3708.675,3811.326,3917.941,4027.682,4140.176,4254.522,4371.47,4494.242,4627.194,4773.137,4934.077,5108.335,5290.562,5473.217,5651.141,5821.985,5988.093,6154.708,6329.476,6517.81,6721.337,6937.985,7164.976,7397.985,7633.757,7871.707,8112.573,8355.98,8601.771,8849.892
"Burkina Faso",854,4284.459,4326.475,4371.948,4421.583,4475.785,4534.65,4597.951,4665.157,4735.491,4808.018,4881.947,4956.921,5033.296,5112.252,5195.464,5284.154,5378.861,5479.285,5584.807,5694.428,5807.492,5923.949,6044.303,6169.133,6299.238,6435.274,6577.502,6726.016,6881.106,7043.049,7212.088,7388.473,7572.382,7763.888,7963.009,8169.792,8384.383,8606.963,8837.666,9076.631,9323.996,9580.035,9844.931,10118.634,10401.025,10692.138,10992.17,11301.608,11621.159,11951.701,12294.012,12648.474,13015.435,13395.599,13789.736,14198.463,14622.202,15061.127,15515.258,15984.479,16468.714
"Cape Verde",132,178.064,181.974,185.568,188.848,191.854,194.664,197.395,200.202,203.267,206.789,210.933,215.792,221.343,227.43,233.809,240.301,246.724,253.087,259.61,266.624,274.282,282.888,292.15,300.922,307.657,311.349,311.403,308.423,304.077,300.726,300.047,302.737,308.23,315.41,322.56,328.481,332.775,335.966,338.857,342.646,348.165,355.655,364.727,374.82,385.101,394.946,404.166,412.893,421.203,429.278,437.238,445.096,452.74,460.031,466.784,472.883,478.267,483.023,487.371,491.621,495.999
"Côte d'Ivoire",384,2630.132,2708.84,2793.262,2882.232,2975.083,3071.653,3172.308,3277.914,3389.763,3509.432,3638.385,3777.543,3926.909,4085.408,4251.345,4423.736,4602.382,4788.525,4984.378,5192.919,5416.416,5655.462,5909.848,6180.001,6466.158,6768.313,7086.257,7419.474,7767.109,8128.032,8500.985,8885.888,9281.593,9684.478,10089.976,10494.827,10896.269,11294.791,11694.318,12100.741,12517.73,12945.88,13381.799,13820.229,14253.952,14677.2,15089.912,15492.127,15878.555,16242.889,16581.653,16892.864,17180.649,17455.501,17731.84,18020.946,18325.979,18646.754,18987.007,19350.026,19737.8
"Gambia",270,271.372,272.968,277.411,284.608,294.31,306.119,319.468,333.635,347.785,361.031,372.625,382.164,389.768,396.158,402.436,409.45,417.35,426.005,435.647,446.488,458.663,472.432,487.79,504.267,521.186,538.11,554.91,571.891,589.57,608.68,629.786,652.817,677.685,704.894,735.056,768.46,805.491,845.642,887.224,927.937,966.151,1001.252,1033.748,1064.522,1094.974,1126.183,1158.308,1191.155,1225.044,1260.283,1297.084,1335.674,1376.035,1417.818,1460.493,1503.678,1547.259,1591.357,1636.107,1681.734,1728.394
"Ghana",288,4980.879,5088.932,5229.464,5392.178,5568.967,5753.908,5943.367,6135.898,6331.952,6533.404,6742.107,6958.364,7179.577,7399.678,7610.752,7807.845,7986.643,8150.359,8310.713,8484.14,8681.818,8911.291,9167.822,9435.673,9692.196,9922.663,10119.038,10290.712,10461.377,10664.342,10922.708,11246.007,11624.726,12039.663,12462.279,12871.965,13261.929,13638.708,14010.951,14392.619,14793.415,15216.133,15655.847,16105.502,16554.855,16996.901,17429.209,17855.25,18281.113,18715.676,19165.49,19632.265,20114.361,20610.897,21119.911,21639.806,22170.556,22712.403,23264.176,23824.402,24391.823
"Guinea",324,3093.652,3139.83,3181.059,3220.178,3259.387,3300.253,3343.673,3389.911,3438.669,3489.211,3540.756,3592.879,3645.873,3700.897,3759.549,3822.583,3890.947,3963.201,4034.827,4099.723,4153.653,4195.876,4228.217,4252.351,4270.991,4286.863,4300.114,4312.321,4329.468,4359.115,4406.831,4477.191,4569.938,4679.999,4799.45,4923.603,5045.781,5170.12,5315.182,5506.436,5759.374,6083.795,6466.435,6871.525,7249.558,7565.235,7805.735,7982.155,8112.65,8226.138,8344.486,8472.339,8604.936,8743.954,8889.321,9041.448,9201.941,9373.619,9559.11,9761.217,9981.59
"Guinea-Bissau",624,518.171,527.433,537.445,547.552,557.23,566.087,573.864,580.436,585.792,590.029,593.289,595.705,597.352,598.224,598.294,597.695,596.34,594.699,594.145,596.459,602.916,613.847,628.89,647.703,669.656,694.113,721.22,750.655,780.721,809.221,834.611,856.143,874.27,890.152,905.58,921.889,939.371,957.688,976.802,996.52,1016.695,1037.431,1058.839,1080.767,1103.003,1125.392,1147.908,1170.619,1193.585,1216.902,1240.655,1264.855,1289.526,1314.795,1340.814,1367.695,1395.492,1424.191,1453.757,1484.12,1515.224
"Liberia",430,911.14,925.211,940.884,958.098,976.786,996.88,1018.303,1040.978,1064.823,1089.763,1115.736,1142.713,1170.708,1199.785,1230.038,1261.555,1294.368,1328.506,1364.046,1401.077,1439.677,1479.831,1521.565,1565.044,1610.474,1657.971,1706.539,1755.815,1807.164,1862.497,1922.536,1988.931,2059.483,2126.455,2179.471,2211.509,2221.35,2212.69,2189.831,2159.264,2127.098,2091.355,2054.179,2030.591,2039.922,2094.591,2203.809,2360.511,2540.835,2710.963,2847.29,2939.296,2996.082,3037.412,3092.721,3182.539,3313.718,3477.197,3658.46,3835.929,3994.122
"Mali",466,4637.633,4693.573,4750.451,4808.476,4867.776,4928.4,4990.311,5053.392,5117.468,5182.338,5247.877,5314.146,5381.485,5450.558,5522.231,5597.238,5675.7,5757.783,5844.286,5936.162,6034.022,6138.428,6249.101,6364.76,6483.57,6604.259,6725.776,6848.536,6974.443,7106.248,7245.598,7394.73,7552.338,7712.392,7866.571,8009.705,8139.016,8258.615,8378.673,8513.337,8672.868,8861.362,9076.261,9313.042,9564.231,9824.51,10092.753,10371.338,10662.517,10969.725,11295.324,11639.798,12001.887,12380.104,12772.264,13176.642,13592.796,14020.786,14459.99,14909.813,15369.809
"Mauritania",478,657.182,672.223,688.526,705.979,724.485,743.964,764.349,785.592,807.656,830.52,854.167,878.589,903.773,929.704,956.369,983.773,1011.9,1040.792,1070.585,1101.457,1133.539,1166.883,1201.462,1237.242,1274.15,1312.132,1351.167,1391.261,1432.406,1474.597,1517.817,1562.144,1607.553,1653.818,1700.638,1747.839,1795.343,1843.352,1892.328,1942.9,1995.548,2050.456,2107.59,2166.948,2228.453,2292.053,2357.678,2425.374,2495.316,2567.741,2642.743,2720.367,2800.333,2882.003,2964.526,3047.249,3129.959,3212.672,3295.254,3377.63,3459.773
"Niger",562,2461.726,2535.752,2609.713,2683.898,2758.676,2834.493,2911.882,2991.457,3073.885,3159.855,3249.965,3344.605,3443.85,3547.421,3654.806,3765.632,3879.91,3997.81,4119.299,4244.349,4372.957,4505.018,4640.56,4779.869,4923.337,5071.204,5223.853,5381.141,5542.178,5705.724,5871.03,6038.229,6208.128,6381.552,6559.627,6743.501,6933.529,7130.57,7336.924,7555.416,7788.198,8036.341,8299.868,8578.542,8871.631,9178.575,9499.892,9835.945,10185.812,10548.219,10922.421,11308.134,11706.182,12118.322,12546.945,12993.884,13460.138,13945.662,14450.007,14972.257,15511.953
"Nigeria",566,37859.746,38508.635,39203.265,39936.661,40703.56,41500.415,42325.458,43178.636,44061.4,44976.361,45926.253,46912.826,47935.878,48992.838,50079.946,51195.706,52341.981,53524.049,54748.444,56023.503,57357.275,58745.411,60191.508,61720.304,63363.756,65141.058,67067.499,69127.157,71269.619,73424.869,75543.388,77604.166,79623.647,81635.55,83691.577,85828.707,88057.486,90363.921,92731.304,95133.496,97552.057,99986.136,102444.773,104931.559,107452.627,110014.688,112618.306,115268.715,117983.368,120784.408,123688.536,126704.722,129832.447,133067.097,136399.438,139823.34,143338.939,146951.477,150665.73,154488.072,158423.182
"Saint Helena",654,4.972,5.005,5.009,4.992,4.963,4.928,4.89,4.852,4.814,4.776,4.738,4.7,4.665,4.639,4.629,4.639,4.671,4.725,4.791,4.865,4.937,5.008,5.078,5.144,5.203,5.253,5.291,5.317,5.339,5.364,5.399,5.446,5.5,5.556,5.602,5.631,5.64,5.633,5.611,5.578,5.537,5.488,5.43,5.37,5.312,5.261,5.22,5.187,5.155,5.115,5.059,4.986,4.901,4.805,4.702,4.598,4.493,4.388,4.288,4.197,4.118
"Senegal",686,2416.264,2463.892,2513.702,2566.574,2623.159,2683.866,2748.861,2818.072,2891.23,2967.928,3047.804,3130.743,3217.043,3307.493,3403.161,3504.782,3612.246,3725.151,3843.517,3967.316,4096.245,4231.03,4370.991,4512.774,4651.922,4785.536,4912.2,5033.645,5154.054,5279.383,5414.07,5559.4,5714.508,5879.044,6051.962,6232.395,6420.323,6615.896,6818.495,7027.32,7241.573,7461.567,7686.866,7915.08,8143.14,8369.125,8591.861,8812.695,9035.367,9265.135,9505.862,9758.841,10023.194,10297.956,10581.316,10871.908,11169.549,11474.661,11787.123,12106.865,12433.728
"Sierra Leone",694,1895.409,1920.612,1946.495,1973.17,2000.723,2029.23,2058.74,2089.284,2120.88,2153.53,2187.24,2222.029,2257.946,2295.07,2333.5,2373.308,2414.62,2457.448,2501.62,2546.888,2593.123,2640.264,2688.527,2738.398,2790.525,2845.392,2903.199,2963.88,3027.332,3093.342,3161.751,3230.99,3300.789,3373.661,3453.115,3540.728,3639.732,3746.944,3849.915,3931.817,3981.567,3995.29,3979.553,3946.835,3915.066,3898.363,3898.177,3913.681,3953.705,4028.26,4143.115,4303.85,4505.515,4730.02,4952.134,5153.435,5327.364,5478.289,5612.129,5739.293,5867.536
"Togo",768,1395.458,1426.13,1442.95,1453.288,1462.655,1474.705,1491.145,1511.826,1535.016,1557.851,1577.708,1593.657,1607.735,1625.493,1654.451,1699.541,1763.332,1843.004,1931.48,2018.669,2097.273,2165.335,2225.052,2278.418,2328.971,2379.649,2430.12,2480.291,2533.721,2594.914,2666.921,2751.151,2846.305,2949.279,3055.479,3161.327,3266.857,3372.562,3475.964,3574.135,3665.509,3747.75,3822.591,3897.51,3982.804,4085.492,4208.738,4349.349,4500.173,4650.754,4793.504,4926.142,5050.919,5170.252,5288.273,5408.044,5529.908,5652.811,5776.837,5901.859,6027.798
"ASIA",935,1403388.587,1434859.169,1464014.226,1492182.614,1520376.759,1549292.725,1579294.766,1610430.764,1642478.297,1675021.644,1707682.378,1740365.509,1773474.773,1808004.93,1845280.29,1886185.733,1931078.165,1979499.623,2030496.865,2082684.54,2134992.648,2187206.496,2239438.656,2291347.567,2342614.121,2393055.653,2442427.031,2490840.161,2538936.507,2587626.378,2637585.518,2688921.955,2741477.268,2795321.193,2850466.901,2906850.838,2964557.489,3023408.264,3082734.434,3141647.854,3199480.873,3255949.334,3311117.001,3365096.127,3418144.539,3470446.102,3522012.921,3572732.327,3622533.344,3671318.753,3719044.238,3765678.429,3811319.639,3856213.826,3900689.978,3944992.36,3989187.97,4033234.147,4077124.285,4120814.74,4164252.297
"Eastern Asia",906,672431.654,689661.85,703878.562,716383.774,728171.721,739928.899,752019.063,764498.227,777159.646,789608.85,801488.602,812718.894,823706.959,835437.235,849216.416,865923.441,885890.118,908680.069,933434.751,958895.849,984073.002,1008793.279,1033110.17,1056535.926,1078546.867,1098809.463,1117049.789,1133416.255,1148548.016,1163370.813,1178587.243,1194323.264,1210462.112,1227161.932,1244548.21,1262663.265,1281649.157,1301393.362,1321354.074,1340787.997,1359148.866,1376216.417,1392097.396,1406973.745,1421168.35,1434911.508,1448256.334,1461094.199,1473311.641,1484741.153,1495281.333,1504893.588,1513677.434,1521838.34,1529657.533,1537343.463,1544963.423,1552479.277,1559862.403,1567045.086,1573969.967
"China",156,550771.433,566170.868,578489.714,589018.891,598746.873,608359.685,618226.224,628412.938,638727.882,648794.141,658270.094,667084.365,675641.408,684909.607,696171.65,710290.299,727601.056,747678.772,769666.505,792308.749,814622.841,836431.505,857804.035,878305.091,897479.153,915040.954,930744.699,944726.607,957584.105,970179.212,983170.638,996667.562,1010574.797,1025090.475,1040397.958,1056579.219,1073792.041,1091904.967,1110339.206,1128297.564,1145195.229,1160799.514,1175230.312,1188687.527,1201522.57,1213986.61,1226134.423,1237849.861,1249020.152,1259476.966,1269116.737,1277903.627,1285933.789,1293396.654,1300552.134,1307593.489,1314581.402,1321481.935,1328275.524,1334908.82,1341335.152
"China, Hong Kong SAR",344,1973.998,2036.119,2133.544,2249.255,2370.729,2489.955,2603.651,2713.041,2823.161,2941.712,3075.605,3227.278,3391.48,3553.881,3694.996,3801.68,3868.368,3901.531,3914.978,3928.817,3958.092,4005.661,4068.311,4147.503,4243.42,4355.208,4485.716,4633.225,4786.467,4930.176,5053.554,5151.92,5228.67,5291.06,5350.313,5414.63,5486.801,5564.427,5644.48,5721.987,5793.857,5857.068,5914.114,5973.754,6048.024,6144.316,6268.283,6414.109,6563.86,6692.636,6783.317,6828.869,6836.766,6822.233,6807.752,6809.859,6832.989,6872.78,6926.368,6987.976,7053.189
"China, Macao SAR",446,196.482,195.949,193.741,190.284,186.029,181.445,177.036,173.324,170.837,170.081,171.45,175.129,181.02,188.698,197.519,206.906,216.869,227.256,237.127,245.308,250.995,253.879,254.28,252.843,250.548,248.211,245.913,243.725,242.455,243.067,246.23,252.251,260.913,271.665,283.662,296.21,309.212,322.637,335.931,348.443,359.709,369.493,377.886,385.193,391.906,398.426,404.808,411.05,417.435,424.292,431.867,440.265,449.472,459.456,470.127,481.39,493.267,505.709,518.463,531.195,543.656
"Dem. People's Republic of Korea",408,9736.822,9559.286,9458.418,9438.059,9497.569,9631.831,9830.947,10080.542,10362.648,10657.2,10946.479,11219.876,11478.046,11734.69,12011.509,12323.345,12671.954,13048.499,13444.411,13847.248,14246.772,14642.731,15034.521,15411.302,15759.909,16072.089,16341.363,16572.788,16784.068,17000.252,17239.34,17508.435,17802.273,18111.491,18421.195,18720.888,19006.458,19282.372,19556.657,19841.107,20143.212,20466.18,20804.249,21145.052,21471.407,21770.898,22038.893,22278.723,22495.715,22698.674,22894.095,23083.419,23264.576,23436.55,23597.383,23745.941,23882.465,24008.606,24126.329,24238.179,24346.229
"Japan",392,82199.47,83794.117,85174.302,86377.203,87437.837,88389.061,89261.611,90084.066,90882.709,91681.328,92500.572,93357.272,94263.847,95228.052,96253.698,97342.773,98495.891,99712.724,100990.902,102326.089,103710.287,105145.914,106619.818,108089.192,109498.615,110808.09,111996.339,113071.149,114057.65,114996.088,115914.688,116823.958,117711.145,118554.19,119320.901,119990.547,120553.26,121023.579,121434.677,121832.924,122251.184,122703.017,123177.552,123653.405,124097.649,124486.744,124814.986,125091.571,125325.617,125531.619,125720.31,125893.623,126048.366,126184.149,126299.414,126392.944,126464.789,126515.486,126544.64,126551.705,126535.92
"Mongolia",496,780.2,793.846,808.494,823.84,839.736,856.184,873.35,891.555,911.239,932.921,957.044,983.822,1013.1,1044.297,1076.571,1109.312,1142.272,1175.616,1209.647,1244.846,1281.535,1319.817,1359.478,1400.15,1441.311,1482.599,1523.908,1565.38,1607.212,1649.71,1693.122,1736.994,1781.213,1826.717,1874.774,1926.002,1981.17,2039.204,2096.653,2148.85,2192.553,2226.469,2251.861,2271.236,2288.37,2306.131,2325.369,2345.618,2366.895,2388.862,2411.369,2434.515,2458.853,2485.177,2514.462,2547.339,2584.143,2624.509,2667.474,2711.659,2756.001
"Republic of Korea",410,19211.386,19304.677,19566.709,19978.822,20520.266,21168.216,21897.498,22680.855,23489.746,24295.67,25074.152,25808.981,26495.936,27144.368,27772.698,28395.14,29009.251,29610.399,30208.614,30816.726,31443.029,32094.421,32766.592,33442.949,34099.932,34721.507,35299.344,35840.876,36364.813,36898.192,37459.53,38054.603,38674.216,39303.579,39920.981,40509.932,41066.824,41594.331,42089.874,42552.039,42980.365,43372.546,43729.283,44057.249,44365.82,44662.143,44949.627,45227.776,45495.222,45749.004,45987.624,46210.554,46420.867,46624.837,46830.699,47044.126,47267.733,47499.36,47733.951,47963.923,48183.584
"Other non-specified areas",158,7561.863,7806.988,8053.64,8307.42,8572.682,8852.522,9148.746,9461.906,9791.424,10135.797,10493.206,10862.171,11242.122,11633.642,12037.775,12453.986,12884.457,13325.272,13762.567,14178.066,14559.451,14899.351,15203.135,15486.896,15773.979,16080.805,16412.507,16762.505,17121.246,17474.116,17810.141,18127.541,18428.885,18712.755,18978.426,19225.837,19453.391,19661.845,19856.596,20045.083,20232.757,20422.13,20612.139,20800.329,20982.604,21156.24,21319.945,21475.491,21626.745,21779.1,21936.014,22098.716,22264.745,22429.284,22585.562,22728.375,22856.635,22970.892,23069.654,23151.629,23216.236
"South-Central Asia",921,507072.432,516353.936,526010.361,536093.856,546642.106,557678.352,569210.685,581232.748,593725.822,606662.34,620016.365,633774.77,647947.028,662569.422,677693.128,693349.3,709582.258,726370.249,743601.338,761120.426,778832.207,796671.886,814716.721,833185.894,852383.303,872521.303,893680.466,915779.288,938668.152,962120.133,985965.385,1010135.409,1034661.973,1059591.371,1085007.567,1110954.905,1137423.74,1164331.387,1191559.925,1218956.032,1246395.886,1273820.483,1301210.37,1328529.768,1355754.252,1382859.239,1409819.613,1436603.691,1463176.973,1489504.273,1515562.763,1541347.983,1566870.69,1592146.713,1617201.272,1642064.666,1666714.526,1691176.004,1715582.909,1740110.228,1764872.276
"Central Asia",5500,17499.495,17860.891,18346.528,18927.511,19580.561,20288.006,21038.056,21824.533,22646.1,23504.962,24403,25337.618,26298.13,27264.215,28210.296,29118.49,29978.06,30793.84,31582.951,32371.339,33177.485,34008.43,34857.401,35712.757,36556.846,37377.996,38171.992,38946.388,39715.438,40499.205,41312.08,42154.274,43020.285,43911.12,44826.738,45763.928,46725.785,47703.649,48667.91,49579.692,50410.902,51151.561,51808.361,52391.119,52917.087,53400.759,53846.835,54256.843,54639.455,55004.371,55361.38,55712.471,56065.29,56441.548,56867.937,57362.679,57936.267,58582.408,59281.235,60003.115,60725.924
"Kazakhstan",398,6702.996,6831.158,7041.605,7315.507,7636.765,7992.002,8370.674,8764.961,9169.484,9580.809,9995.997,10411.04,10819.503,11211.938,11577.537,11909.001,12200.891,12455.366,12682.452,12897.025,13109.992,13325.342,13540.301,13751.019,13950.987,14136.006,14304.947,14461.277,14610.81,14761.508,14918.991,15082.186,15248.46,15419.454,15596.921,15780.002,15972.358,16167.918,16344.294,16471.823,16530,16513.48,16430.903,16293.8,16120.117,15925.853,15712.544,15484.686,15265.189,15082.372,14956.694,14897.666,14901.669,14959.072,15053.492,15171.805,15312.333,15476.093,15655.345,15841.096,16026.367
"Kyrgyzstan",417,1740,1763.226,1791.952,1825.123,1862.068,1902.499,1946.54,1994.697,2047.784,2106.792,2172.5,2245.062,2323.642,2406.263,2490.244,2573.494,2655.349,2735.838,2814.423,2890.72,2964.499,3035.474,3103.694,3169.771,3234.611,3299.001,3362.961,3426.646,3491.143,3557.793,3627.499,3700.312,3775.764,3853.514,3933.002,4013.498,4095.873,4179.484,4260.325,4333.114,4394.502,4441.582,4476.402,4506.563,4542.747,4592.135,4658.815,4739.263,4823.87,4898.865,4954.85,4987.944,5002.691,5008.348,5018.366,5042.381,5083.724,5139.213,5204.104,5270.894,5334.223
